,deposit,rent,floor,area,age,rooms,elavator,parking,Warehouse,time,region,all_to_deposit,district,ratio,deposit_per_sqm,amenities_score
0,320.0,0.0,1.0,55,7,1,1,1,0,2022-07-16 08:35:40.164465408,استاد معین,320.0,9,33.28956345086318,5.818181818181818,2
1,300.0,30.0,2.0,128,9,3,1,1,1,2022-07-16 08:36:43.227201792,محمودیه,1300.0,1,33.333333333333336,10.15625,3
2,600.0,18.0,8.0,132,16,2,1,1,1,2022-07-16 08:36:44.710336000,فرمانیه,1200.0,1,33.333333333333336,9.090909090909092,3
3,200.0,11.0,2.0,105,7,2,1,1,1,2022-07-16 08:36:45.511114240,شهران شمالی,566.0,5,33.27272727272727,5.390476190476191,3
4,900.0,0.0,2.0,120,1,2,1,1,1,2022-07-16 08:36:47.967157760,تهرانپارس شرقی,900.0,4,33.28956345086318,7.5,3
5,150.0,4.0,2.0,57,5,1,1,1,1,2022-07-16 08:36:48.776116992,استاد معین,283.0,9,33.25,4.964912280701754,3
6,400.0,1.0,1.0,55,2,1,0,0,1,2022-07-16 08:36:51.540475904,دردشت,433.0,6,33.0,7.872727272727273,1
7,250.0,2.3,3.0,55,7,1,1,0,1,2022-07-16 08:36:52.172221440,بریانک,326.0,10,33.04347826086957,5.927272727272728,2
8,200.0,4.5,2.0,60,11,1,1,1,1,2022-07-16 08:36:52.720513536,جمهوری,350.0,11,33.333333333333336,5.833333333333333,3
9,3500.0,0.0,3.0,240,1,3,1,1,1,2022-07-16 08:36:53.574373888,پاسداران,3500.0,3,33.28956345086318,14.583333333333334,3
10,300.0,15.0,5.0,65,3,1,1,1,1,2022-07-16 08:36:55.740271872,کامرانیه,800.0,1,33.333333333333336,12.307692307692308,3
11,500.0,35.0,2.0,125,2,2,1,1,1,2022-07-16 08:36:56.512774912,پاسداران,1666.0,3,33.31428571428572,13.328,3
12,1000.0,33.0,3.0,185,5,3,1,1,1,2022-07-16 08:36:57.693465600,پاسداران,2100.0,3,33.333333333333336,11.35135135135135,3
13,250.0,6.5,2.0,75,18,2,0,1,1,2022-07-16 08:37:00.066837504,پونک,466.0,5,33.23076923076923,6.213333333333333,2
14,200.0,20.0,2.0,110,23,2,0,1,1,2022-07-16 08:37:00.978669824,آجودانیه,866.0,1,33.3,7.872727272727273,2
15,420.0,0.0,3.0,73,16,2,0,1,1,2022-07-16 08:37:01.627457024,تهران‌سر,420.0,21,33.28956345086318,5.7534246575342465,2
16,500.0,0.0,2.0,70,11,1,1,1,1,2022-07-16 08:37:03.390278144,کوی فردوس,500.0,5,33.28956345086318,7.142857142857143,3
17,550.0,6.0,2.0,92,12,2,1,0,1,2022-07-16 08:38:05.204946688,دروس,750.0,3,33.333333333333336,8.152173913043478,2
18,800.0,20.0,5.0,200,14,4,1,1,1,2022-07-16 08:38:07.107636992,سعادت‌آباد,1466.0,2,33.3,7.33,3
19,500.0,50.0,1.0,176,1,3,1,1,1,2022-07-16 08:38:08.150737408,الهیه,2166.0,1,33.32,12.306818181818182,3
20,400.0,3.0,3.0,88,5,2,1,1,1,2022-07-16 08:38:08.917899008,سلسبیل,500.0,10,33.333333333333336,5.681818181818182,3
21,450.0,0.0,3.0,62,6,2,1,1,1,2022-07-16 08:38:09.741528832,وحیدیه,450.0,8,33.28956345086318,7.258064516129032,3
22,300.0,8.0,4.0,105,17,2,1,1,1,2022-07-16 08:38:11.181065728,مجیدیه,566.0,4,33.25,5.390476190476191,3
23,200.0,4.5,4.0,75,9,2,1,0,1,2022-07-16 08:38:11.727006976,شهرک شریعتی,350.0,19,33.333333333333336,4.666666666666667,2
24,500.0,1.7,2.0,90,13,2,1,1,1,2022-07-16 08:38:13.384525056,کوی فردوس,556.0,5,32.94117647058824,6.177777777777778,3
25,150.0,2.9,3.0,46,13,1,0,1,1,2022-07-16 08:38:14.743378944,نواب,246.0,10,33.10344827586207,5.3478260869565215,2
26,320.0,3.5,1.0,50,10,1,1,1,1,2022-07-16 08:38:15.381175808,نارمک جنوبی,436.0,4,33.142857142857146,8.72,3
27,300.0,7.5,2.0,89,25,2,0,1,1,2022-07-16 08:38:16.675296256,صادقیه,550.0,18,33.333333333333336,6.179775280898877,2
