,deposit,rent,floor,area,age,rooms,elavator,parking,Warehouse,time,region,all_to_deposit,district
0,320.0,0.0,1.0,55,7,1,1,1,0,1657960540.1644654,استاد معین,320.0,9
1,300.0,0.1,3.0,45,13,1,0,1,1,1657960572.2049167,آذربایجان,303.0,10
2,300.0,30.0,2.0,128,9,3,1,1,1,1657960603.2272017,محمودیه,1300.0,1
3,600.0,18.0,8.0,132,16,2,1,1,1,1657960604.710336,فرمانیه,1200.0,1
4,200.0,11.0,2.0,105,7,2,1,1,1,1657960605.5111144,شهران شمالی,566.0,5
5,900.0,0.0,2.0,120,1,2,1,1,1,1657960607.9671578,تهرانپارس شرقی,900.0,4
6,150.0,4.0,2.0,57,5,1,1,1,1,1657960608.776117,استاد معین,283.0,9
7,400.0,1.0,1.0,55,2,1,0,0,1,1657960611.5404758,دردشت,433.0,6
8,250.0,2.3,3.0,55,7,1,1,0,1,1657960612.1722214,بریانک,326.0,10
9,200.0,4.5,2.0,60,11,1,1,1,1,1657960612.7205136,جمهوری,350.0,11
10,3500.0,0.0,3.0,240,1,3,1,1,1,1657960613.574374,پاسداران,3500.0,3
11,300.0,15.0,5.0,65,3,1,1,1,1,1657960615.7402718,کامرانیه,800.0,1
12,500.0,35.0,2.0,125,2,2,1,1,1,1657960616.512775,پاسداران,1666.0,3
13,1000.0,33.0,3.0,185,5,3,1,1,1,1657960617.6934657,پاسداران,2100.0,3
14,250.0,6.5,2.0,75,18,2,0,1,1,1657960620.0668375,پونک,466.0,5
15,200.0,20.0,2.0,110,23,2,0,1,1,1657960620.97867,آجودانیه,866.0,1
16,420.0,0.0,3.0,73,16,2,0,1,1,1657960621.627457,تهران‌سر,420.0,21
17,500.0,0.0,2.0,70,11,1,1,1,1,1657960623.390278,کوی فردوس,500.0,5
18,550.0,6.0,2.0,92,12,2,1,0,1,1657960685.2049468,دروس,750.0,3
19,800.0,20.0,5.0,200,14,4,1,1,1,1657960687.107637,سعادت‌آباد,1466.0,2
20,500.0,50.0,1.0,176,1,3,1,1,1,1657960688.1507375,الهیه,2166.0,1
